visitor_id,Paths_journey
0077D00DB7EnEAo0AhCBFhf3A,Start > Facebook > Instagram > Conversion
0077FioEhEoii99BBhfDB0EA0,Start > Youtube > Conversion
0077FkEo0no3DFhf0CE09fokk,Start > Youtube > Conversion
0079CAChkD70iinEnkE9kE0DE,Start > Instagram > Facebook > Conversion
0079hDD9Fhio993n9Bf0fBBko,Start > Youtube > NULL
0079iBF9okFo9C0knno7F7nfC,Start > Facebook > NULL
0079okACDCofB9fDDhkE3kkB3,Start > Youtube > Conversion
007AnkF9f7iBCk07C9o9oi0k9,Start > Facebook > NULL
007Ao7f3BiB97o079kCFhoho3,Start > Facebook > NULL
007Bo9fni9hFfDBDD33Fk7DBf,Start > Facebook > Conversion
007BoF0hhn3A90FAFEfDD3BiA,Start > Youtube > NULL
007C0fD7ohfkh399DkACkA99A,Start > Facebook > NULL
007C0i3CBFFEffhEiBEF3nCCh,Start > Youtube > Conversion
007C33CkFF3fAEoDkoiF9E9o9,Start > Facebook > NULL
007C99Ak333DA03ni9ikk3CBD,Start > Instagram > NULL
007C9fAk3CF7ko3EECkCfBFCE,Start > Facebook > Conversion
007CC9FnC7hAEEhhiBCkBBDoF,Start > Youtube > NULL
007CDAonk7Bfn7kBfFhifF3C3,Start > Instagram > Facebook > NULL
007DD9BfDki0CBikk3hCf00nF,Start > Youtube > NULL
007DhEFCkBBiDE3kBnEC3DDii,Start > Youtube > NULL
007E0BkCnn0E37nBEkFE3DDDo,Start > Youtube > NULL
007E7Fno3E00D97iFA90fo90k,Start > Facebook > Youtube > NULL
007F0BonfkFnoEiFCh0iDkoBn,Start > Youtube > NULL
007F9A3f7B03iB9fi7FnnFFkD,Start > Youtube > Conversion
007FF97kFn7hAoii7Fk03kBDo,Start > Instagram > Facebook > Conversion
007Ff9DAh7FhhEi7CBBh0fBCC,Start > Instagram > Facebook > Conversion
007fDEFoBC7fh0Di7hn39CAkh,Start > Facebook > Youtube > NULL
007fDoE0n070BCnCkBhh7FBEo,Start > Youtube > NULL
007fihhDBCf3nC9hoCiCh7f0D,Start > Youtube > Conversion
007h9f7h7iofokoDiAAhBBkDC,Start > Facebook > NULL
007hCoB3nFC3f3Ek9iikCfBhh,Start > Facebook > NULL
007hf3ADhhoFFoCD3BDkDAhn7,Start > Youtube > NULL
007i37F07EnDCkfk97ff9A0Cf,Start > Youtube > NULL
007i39FBfkn0f03Ff0onoEf30,Start > Facebook > NULL
007iD3373kiDFAE0oh97h703D,Start > Youtube > Conversion
007iEEkhkfn0C7EoDkfDnkohA,Start > Youtube > Conversion
007inkEBf7CFC7FCkEAhAA39o,Start > Youtube > NULL
007inof7n9h7CB9oF3C3B9D7k,Start > Facebook > NULL
007kEE7o70fD3k9FfiEhAECi0,Start > Youtube > NULL
